2,	5,	7,	-3,	6,	0,	1,	0,	0,	24,	17,	18,	10,	1,	27,	.900,	0
8,	9,	17,	11,	0,	2,	5,	0,	3,	36,	22,	27,	11,	0,	27,	.931,	0
3,	5,	8,	-1,	2,	0,	1,	1,	0,	38,	26,	35,	17,	0,	31,	.886,	0
2,	4,	6,	5,	4,	0,	0,	0,	0,	30,	38,	7,	12,	1,	21,	.955,	0
2,	7,	9,	2,	15,	0,	2,	0,	1,	23,	25,	22,	11,	0,	40,	.930,	0
5,	4,	9,	1,	4,	3,	5,	0,	0,	34,	29,	13,	16,	0,	37,	.881,	0
4,	3,	7,	0,	6,	2,	4,	0,	1,	44,	36,	31,	13,	1,	50,	.909,	0
2,	8,	10,	-3,	4,	1,	1,	0,	0,	40,	44,	10,	12,	1,	60,	.896,	0
5	5	10	3	4	2	3	0	2	33	19	17	10	1	20	.909	0
1	5	6	-4	4	0	3	0	0	31	50	17	8	0	26	.839	0
4	8	12	2	4	0	3	1	1	35	16	9	8	0	31	.912	0
5	4	9	-7	10	3	3	0	0	39	45	29	8	0	27	.871	0
2	9	11	4	6	0	1	0	0	33	44	20	6	2	63	.955	0
1	2	3	2	4	0	0	0	1	24	37	20	16	0	38	.927	0
2	4	6	-9	23	0	0	0	0	27	11	28	13	0	31	.861	0
3	4	7	-7	6	0	1	0	0	31	37	14	13	1	22	.917	0
1	4	5	-4	6	0	2	0	0	23	13	11	16	2	75	.938	0
3	7	10	1	8	1	3	0	0	26	35	19	9	0	23	.885	0
2	6	8	9	6	1	3	0	0	20	34	22	12	1	23	.885	0
2	2	4	-2	2	0	1	0	0	19	15	22	11	1	28	.966	0
